Custom or Out of the Box (OOTB),Section Title,Metadata Field Label,Technical Property Name,Summary,Tool Tips,GSUSA Feedback (Keep or Remove),Feedback Resolved,Required (Y/N),Enabled/Disabled,Extract/Autopopulate OR Manual,Type,Multi / Single Select,Values (Dropdown Items or Tag Path),"Metadata Schema (*Global = Default, all assets)",Folders Applied,Original Source (WebDAM/SharePoint/NetSuite),girlscoutshop.com,girlscouts.org / Council Sites,Email / Social,Previous Mapping (WebDAM Field),Consolidation Notes
OOTB AEM Field,Metadata (Basic),Title,./jcr:content/metadata/dc:title,Primary name representing the asset.,Enter a concise descriptive title.,,,Y,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Headline (Caption/Title),Maps from WebDAM Headline; NetSuite ALT text can seed this.
OOTB AEM Field,Metadata (Basic),Description,./jcr:content/metadata/dc:description,Long description / abstract of the asset.,Describe the asset content and context.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Caption/Abstract (Long Description),
Custom AEM Field,Metadata (Basic),Asset Type,./jcr:content/metadata/gs:assetType,Classifies the kind of asset.,Select the asset type.,,,Y,Enabled,Manual,Dropdown,Single,Product Image; Lifestyle Photo; Logo; Icon/Illustration; Badge/Patch; Document/PDF; Video; Banner/Creative; Infographic; Brand Guideline,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Image Type (Asset Type),PROPOSED starter values - confirm with GSUSA (Q8).
OOTB AEM Field,Metadata (Basic),Tags / Keywords,./jcr:content/metadata/cq:tags,Controlled taxonomy tags for classification.,Apply tags from the girlscouts taxonomy.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Keywords,
OOTB AEM Field,Metadata (Basic),Smart Tags,./jcr:content/metadata/dam:smartTags,AI-generated descriptive tags.,Auto-applied by Asset Compute.,,,N,Enabled,Autopopulate (AI),Tag List,Multiselect,Smart Tags,Global Metadata Schema (All Assets),/content/dam/gsusa,,,,,,
OOTB AEM Field,Metadata (Basic),Language,./jcr:content/metadata/dc:language,Language of the asset content.,Select the asset language.,,,N,Enabled,Manual,Dropdown,Multiselect,English; Spanish,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Language Identifier,"Localization handled via metadata, not folders."
OOTB AEM Field,Metadata (Basic),Created Date,./jcr:content/jcr:created,Date the asset was added to AEM.,System-populated.,,,N,Enabled,Autopopulate (System),Date,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,,,,,Date Created,
Custom AEM Field,Rights & Conditions,Owner of Asset,./jcr:content/metadata/gs:owner,Who owns the asset (GSUSA or external).,Select asset owner.,,,Y,Enabled,Manual,Dropdown,Single,GS; External,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,,
OOTB AEM Field,Rights & Conditions,Usage Rights,./jcr:content/metadata/xmpRights:UsageTerms,Permitted usage / rights for the asset.,Select usage rights.,,,Y,Enabled,Manual,Dropdown,Multiselect,Internal Use Only; Web/Digital; Print; Social Media; Email; All Channels; Council Use; Restricted,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,Rights Usage Terms (Asset Usage),PROPOSED starter values - confirm with GSUSA (Q8).
Custom AEM Field,Rights & Conditions,License Type,./jcr:content/metadata/gs:rightsLicenseType,Type of license governing the asset.,Select license type.,,,N,Enabled,Manual,Dropdown,Single,Royalty-Free; Rights-Managed; Owned/In-House; Licensed (Time-Limited); Creative Commons; Stock; Model-Released,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,,,Usage Terms (Usage Rights),PROPOSED starter values - confirm with GSUSA (Q8).
OOTB AEM Field,Rights & Conditions,Copyright,./jcr:content/metadata/dc:rights,Copyright notice.,Enter copyright text.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,,,Copyright Notice,
OOTB AEM Field,Rights & Conditions,Photographer / Creator,./jcr:content/metadata/dc:creator,Person who created the asset.,Enter creator name.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,,,By-line (Photographer/Creator),
