Block Name,Variations,Design Specs (Mobile 360px),Hover/Touch Properties,Authoring Acceptance Criteria,User Acceptance Criteria,Commerce Data Flow
"Mobile Header + Hamburger Nav","Collapsed bar; Hamburger open (level 1, 360x804); Hamburger expanded (360x2688, accordion categories); 'Choose your experience' switcher","Top bar 360px wide; logo, search icon, account, cart, hamburger trigger. Hamburger panel slides in full-width. 'Choose your experience' selector (360x100). Accordion category list ('Nav_Bar_Accordion_Mobile'). Trefoil Sans typography; GS green #005640 accents.","Touch: hamburger toggles open/close; accordion rows expand/collapse on tap with chevron rotate. Active row: green text/left-border. Cart/account icons: tap feedback. No hover (touch-first); ensure >=44x44px tap targets.","Author/dev configures nav category tree (mirrors desktop mega menu). Author sets 'Choose your experience' options. Promo slots within menu authorable.","Visitor taps hamburger to open full-screen nav; expands category accordions; taps a category to reach PLP. Menu is keyboard/screen-reader accessible; focus trapped while open; Esc/close button dismisses. Tap targets >=44px.","Static category links (structure mirrors ACCS catalog categories). Cart icon shows live item count from ACCS cart. Account state from auth."
"Hero / Banner Carousel","Single slide; Multi-slide (auto-rotate); With/without secondary CTA; With/without Terms link","Frame 360x480 (taller portrait crop, NOT 16:9). Padding reduced (~24-32px sides). Eyebrow: Girl Scout Bold (scaled ~16/20). Heading: Girl Scout Bold (scaled ~28-32 from desktop 48). CTA: Trefoil Sans 600 (~14-16). Terms: Trefoil Sans 600 12/17 white, bottom. Full-bleed bg image; dots + counter; arrows smaller or hidden (swipe-first); scrim for contrast.","Touch: swipe left/right to change slides; dots tappable. Autoplay pauses on touch. Primary button: pressed state (slight darken). Arrows (if shown) >=44px tap target. Respect prefers-reduced-motion.","Same authoring as desktop: slides addable/reorderable; per slide bg image (required), eyebrow, heading (required), primary/secondary CTA, Terms link. Author can supply a mobile-specific crop/focal point if needed.","Visitor sees first slide; swipes or taps dots to navigate; autoplay pauses on interaction; CTAs navigate. Heading/text legible over image at 360px; no horizontal overflow.","Authorable content (no commerce). CTAs deep-link to PLP/promo URLs (authored)."
"I Am Looking For (Quick Search Bar)","Default (stacked on mobile)","Frame 360x99 (taller than desktop 68 - stacks). Label 'I am looking for': Trefoil Sans 600 16/22 black. Input full-width; 'Go' button Trefoil Sans 600 14/18 white on green #005640. Suggestion chips wrap to multiple rows.","Touch: Go button pressed-darken (#004a37). Chips: pressed state. Input: green focus ring on focus. Tap targets >=44px.","Author configures placeholder text and suggestion chips (label + URL). Free-text input toggle.","Visitor taps input, types, taps Go -> search results; or taps a chip -> predefined PLP. Keyboard/AT accessible; chips wrap without overflow.","Free-text query -> ACCS Live Search results. Chips are authored links (may point to ACCS category pages)."
"Shop by Grade","Default (horizontal scroll row of grade tiles)","Frame 360x386. Heading 'Shop By Grade Level': Girl Scout Light(300) 26/31 black (down from 36/43). Grade tiles in a horizontally scrollable row; tile = image + grade label.","Touch: horizontal swipe to scroll tiles; tile pressed state (slight scale/shadow); label -> green #005640 on active. Tap target >=44px.","Author sets heading; adds/edits grade tiles (image, label, link); order authorable. Recommended 6 grade levels.","Visitor swipes through grade tiles; taps a tile -> grade-filtered PLP. Scroll is touch-friendly; focus visible for keyboard.","Tile links resolve to PLP filtered by program-level (ACCS facet). No product data loaded here."
"Shop by Category","Default (grid, fewer columns); 'Shop By Collection' variant (360x404)","Frame 360x1416 (tall - stacked grid). Heading: Girl Scout Light(300) 26/31. Category tiles in 1-2 column grid (vs multi-column desktop), large imagery. Separate 'Shop By Collection' section (360x404) also present on mobile.","Touch: tile pressed-state (image scale 1.03 + overlay darken); label underline on active. Tap target full tile.","Author sets heading and category/collection tiles (image, name, link); addable/removable/reorderable.","Visitor scrolls category tiles in 1-2 columns; taps to reach category PLP. Reflows cleanly at 360px; no overflow.","Tile links -> category PLPs (ACCS catalog category). Block is authored; categories mirror ACCS."
"Product Carousel (New Arrivals / New Finds & Deals)","New Arrivals (360x856); New Finds & Deals / New Essentials & Deals (360x848)","Heading: Girl Scout Light(300) 26/31 black. Horizontal scroller of Product Cards; ~1.5-2 cards visible at 360px (peek next). Slider arrows smaller or hidden (swipe-first); dots optional.","Touch: swipe to scroll cards; card pressed-state (scale 1.02 + shadow). Add-to-cart/list button always visible on mobile (no hover reveal). Arrows (if present) >=44px.","Author sets heading and product source (category/collection/SKU list/new-arrivals rule); max product count; autoplay toggle. Graceful empty state.","Visitor swipes a horizontal set of product cards; each links to PDP; can add to cart/list directly (button visible, not hover-gated). Lazy-loads images.","COMMERCE: product list from ACCS Catalog Service / Live Search GraphQL. Per product: image (Adobe Assets), name, price + sale price, rating, URL key, badges, availability. Bound to author's configured source."
"Product Card (Mobile)","Default; On sale; Out of stock; With swatches; With rating; Always-visible add-to-cart/list","Square product image; title (Trefoil Sans, scaled); price + optional sale price; optional rating; optional swatches; add-to-cart/list control ALWAYS visible (no hover on touch). GS green accents #005640.","Touch (no hover): card pressed-state (scale 1.02 + shadow). Add button pressed-darken. Swatch tap selects + highlights. All controls >=44px tap target.","Shared item rendered by carousels and PLP grid (not directly authored). Confirm which optional elements (rating, swatches, quick-add) are enabled per placement on mobile.","Visitor sees image, name, price (sale if any), rating; taps to PDP; adds to cart/list via always-visible button; sees out-of-stock state. Fully accessible; large tap targets.","COMMERCE: binds to one ACCS product - image (Adobe Assets), regular & sale price, currency, rating/review count, variant swatches, stock status, URL key, badges. Add-to-cart -> ACCS cart; add-to-list -> wishlist."
"Promotional Banner (Full / Season / 50-50)","Full_Banner (360x486); Season_Banner (360x480); 50-50_Section (360x803 - STACKS vertically)","Full-width image w/ overlaid heading + CTA, or 50/50 that STACKS to image-over-text on mobile. Heading Girl Scout font (scaled); CTA 'Know more' Trefoil Sans 600 16/21 green #005640.","Touch: CTA pressed-state (underline + darken); chevron nudge. Banner pressed-scale if clickable. Tap target >=44px.","Author sets image, heading, body, CTA (label+link), layout variant. Optional mobile-specific image/crop.","Visitor sees promo; taps CTA to target. 50-50 stacks image-over-text; text contrast maintained over image; alt text present.","Authorable content (no commerce). CTA links authored (may point to PLP/promo)."
"Customer Stories / Testimonials","Default (single-card swipe carousel)","Frame 360x592. Heading 'Customer Stories': Girl Scout Light(300) 26/31. One story card visible at a time; swipe between; dots indicator.","Touch: swipe between stories; dots tappable; card pressed-state. No hover.","Author adds/edits stories (quote, attribution, optional image/rating); order authorable; carousel only if >1.","Visitor reads one testimonial at a time, swipes for more; dots show position; slide changes announced to AT.","Authorable content. (Optional future: verified reviews from provider - not MVP.)"
"Council Products","Default (council-scoped product carousel)","Frame 360x701. Heading e.g. 'West Central Florida Council Products': Girl Scout Light(300) 26/31. Product carousel scoped to a council; swipe-first; ~1.5-2 cards visible.","Same as mobile Product Carousel / Product Card touch behaviors.","Author/system sets council context + heading; selects council catalog or resolves from user council; product count configurable.","Council-affiliated visitor swipes council-specific products; cards link to PDP; add-to-cart works; large tap targets.","COMMERCE: ACCS product list filtered by council attribute/catalog. Same product fields as Product Card. Council scope from user context or authored."
"Skills/Badges Promo","Default editorial promo","Frame 360x693 'A Month of Skills, Fun & New Badges'. Stacked editorial: heading, copy, imagery, 'Know more' CTA (Trefoil Sans 600 16/21 green #005640).","Touch: CTA pressed-state (underline + darken); chevron nudge; image pressed-scale if clickable.","Author sets heading, body copy, image(s), CTA (label+link); layout variant.","Visitor reads editorial promo (stacked) and taps CTA to target. Responsive, accessible.","Authorable content (no commerce). CTA is an authored link."
"Need Help / Have Questions","Default CTA strip (stacked on mobile)","Compact support strip (stacks vertically within Frame 25201 area). Trefoil Sans typography; green accent #005640.","Touch: CTA pressed-state (underline + green darken). Tap target >=44px.","Author sets help message + CTA (label+link, e.g., contact/FAQ); optional phone/email.","Visitor sees support prompt; taps CTA to contact/FAQ/help. Accessible; large tap target.","Authorable content (no commerce). Links to static support/contact pages."
"Footer (Mobile Accordion)","Collapsed accordion (default); expanded sections","Frame 360x1403 (tall). Link groups COLLAPSE into accordion sections on mobile ('Footer Accordion'). Copyright '© 2025 Girl Scouts of the USA': Trefoil Sans 400 14/18 white. Message bar; social icons.","Touch: accordion section header toggles expand/collapse with chevron rotate; pressed-state on links. Tap targets >=44px.","Author/dev configures footer link columns (become accordions on mobile), legal links, social, message bar.","Visitor taps accordion headers to reveal link groups; links navigate; accessible (aria-expanded, focus visible). Copyright/legal visible.","Static links (no commerce). Use footer orchestrator; accordion is mobile-specific behavior of the same footer block."
