Block Name,Category,EDS Block Type,Appears On (Page Types),Figma Evidence,Commerce/Dynamic?,Reuse vs New,Notes
"Header / Nav","Global","Block (nav)","Home, PLP, PDP, Cart, Checkout","'Header'/'Header_Container' on every page (135 instances)","Dynamic (account, cart count)","Adapt boilerplate header","Sticky header with logo, search, account, cart, mega-menu trigger. Use navigation orchestrator."
"Mega Menu","Global","Block (nav variant)","Home, PLP, PDP","'Mega Menu' x6 states (1280x436 / 1280x699)","Static (category links) + promo","New variant of header","Multi-column category menu with 2 promotional banner slots (Promotional_Banner_1/2) and 1:1 image tile."
"Hamburger Menu (Mobile Nav)","Global","Block (nav variant)","All (mobile)","'Hamburger Menu', 'Hamburger Menu-2' (360 wide); 'Nav_Bar_Accordion_Mobile' x28","Static","New (mobile variant of nav)","Accordion-style mobile navigation."
"Footer","Global","Block","All page types","'Footer' x148; 'Footer Accordion' x344; 'Footer Message', 'Nav & Footer Links'","Static","Adapt boilerplate footer","Accordion footer (mobile), link columns, message bar. Use footer orchestrator."
"Breadcrumb","Global","Block","PLP, PDP, Cart, Checkout","'Breadcrumb' x107 (1280x38)","Dynamic (catalog path)","Reuse local breadcrumb block","Already exists in repo (blocks/breadcrumb). Bind to catalog category path."
"Hero / Banner Carousel","Home","Block","Home","'Banner' (1280x720) - matches node 5168-208528","Authorable","Reuse Hero Carousel (already storied)","Multi-slide promo carousel. See Figma-Hero-Carousel-User-Stories.csv."
"Inner-Page Banner","PLP/Content","Block","PLP, inner pages","'Banner_Innerpages' x20 (1280x320)","Authorable","New","Category/landing banner (shorter than home hero)."
"I Am Looking For (Quick Links)","Home","Block","Home","'I_am_looking_for' (1280x68)","Static/authorable","New","Horizontal quick-link/search-intent bar."
"Shop by Grade","Home","Block","Home","'Shop by Grade New Section' (1280x428); 'Grades Set With Text' x28","Static/authorable","New","Grade-level category tiles (Daisy..Ambassador)."
"Shop by Category","Home","Block","Home","'Shop by Category' (1280x1287)","Authorable","New","Category tile grid."
