Block Name,Variations,Design Specs,Hover Properties,Authoring Acceptance Criteria,User Acceptance Criteria,Commerce Data Flow
"Hero / Banner Carousel","Single slide; Multi-slide (auto-rotate); With/without secondary CTA; With/without Terms link","Frame 1280x720 (16:9), padding 60px 120px, vertical flex space-between. Eyebrow: Girl Scout Bold 20/24 white. Heading: Girl Scout Bold 48/58 white. CTA label: Trefoil Sans 600 16/21 uppercase. Terms: Trefoil Sans 600 12/17 white. Full-bleed background image; green circular slider arrows; white dots + '1/5' counter; scrim for text contrast.","Slide arrows: bg fill green #005640, icon white on hover (default: white bg/green icon); cursor pointer. Dots: active dot solid, inactive 50% opacity; hover scales 1.1. Primary button: invert to solid white bg / green text on hover. Secondary link: underline + chevron nudge 4px right on hover.","Author can add/remove/reorder slides (each slide = one row). Author sets per slide: background image (required), eyebrow, heading (required), primary CTA link+label, secondary CTA link+label (optional), Terms link (optional). Author can toggle autoplay and interval. Omitting optional fields hides those elements without layout break.","Visitor sees first slide on load; can navigate via arrows, dots, and (if shown) counter. Autoplay pauses on hover/focus. Slide changes announced to screen readers. CTAs navigate to authored URLs. Renders correctly at mobile/tablet/desktop; respects prefers-reduced-motion.","Authorable content (no commerce). CTAs may deep-link to PLP category or promo landing URLs (static authored links)."
"I Am Looking For (Quick Search Bar)","Default","Frame 1280x68. Label 'I am looking for': Trefoil Sans 600 16/22 black. 'Go' button label: Trefoil Sans 600 14/18 white on green #005640. Horizontal bar with input + suggestion chips + Go button.","Go button: darken green on hover (#004a37). Suggestion chips: green border + light green fill on hover. Input: green focus ring on focus.","Author can configure placeholder text and a set of quick-link suggestion chips (label + target URL). Author can enable/disable the free-text search input.","Visitor types a query and clicks Go to reach search results; or clicks a suggestion chip to jump to a predefined PLP/category. Keyboard operable; visible focus.","Free-text query routes to Live Search results page (ACCS Live Search). Suggestion chips are authored links (may point to category pages driven by ACCS catalog)."
"Shop by Grade","Default (grade tiles row)","Frame 1280x428. Section heading 'Shop By Grade Level': Girl Scout Light(300) 36/43 black. Row of grade tiles ('Grades Set With Text' component); each tile = image + grade label. GS brand colors per grade level.","Tile: image zoom 1.05 + shadow lift on hover; label color shifts to green #005640. Cursor pointer.","Author sets section heading. Author can add/edit grade tiles: image, grade label (Daisy..Ambassador), and target link. Order is authorable. Recommended fixed set of 6 grade levels.","Visitor sees grade tiles; clicking a tile navigates to the grade-filtered PLP. Responsive: tiles wrap/scroll on mobile. Keyboard accessible with visible focus.","Tile links typically resolve to a PLP filtered by grade/program-level attribute (ACCS catalog facet: program-level). Link targets authored; product data not loaded in this block."
"Shop by Category","Default (category grid)","Frame 1280x1287. Heading 'Shop By Category': Girl Scout Light(300) 36/43 black. Grid of category tiles (image + category name). Generous spacing; large imagery.","Category tile: image zoom 1.05 + overlay darken on hover; category label underline. Cursor pointer.","Author sets heading and the category tiles (image, name, link). Tiles addable/removable/reorderable. Each tile links to a category PLP.","Visitor browses category tiles; clicking navigates to the category PLP. Grid reflows responsively (multi-column desktop, fewer columns mobile).","Tile links resolve to category PLPs (ACCS catalog category). Block itself is authored content; category structure mirrors ACCS catalog categories."
"Product Carousel (New Arrivals / New Finds & Deals)","New Arrivals; New Finds & Deals; New Essentials & Deals (heading variants); auto vs manual scroll","Frame 1280x705/710. Heading: Girl Scout Light(300) 36/43 black. Horizontal scroller of Product Cards (see Product Card). Slider Arrow 40x40 (green circular); Arrow Main 24x24 icon. Row of cards (~4 visible desktop).","Slider arrows: green fill + white icon on hover (disabled state greyed at ends if not looping). Product card hover: see Product Card block.","Author sets section heading and selects the product source: a category, a collection, a curated SKU list, or a 'New Arrivals' rule. Author can set max number of products and toggle autoplay. Empty/insufficient products handled gracefully.","Visitor sees a horizontally scrollable set of product cards; navigates via arrows or swipe (mobile). Each card links to its PDP. Lazy-loads images. Keyboard operable.","COMMERCE: product list pulled from ACCS via Catalog Service / Live Search GraphQL. Per product: image (Adobe Assets), name, price (incl. sale price), rating, URL key, badges (New/Sale), availability. Bound to category/collection/SKU list configured by author."
"Product Card","Default; On sale (strikethrough price); Out of stock; With swatches; With rating; With quick add-to-cart/list","Card = product image (square ratio), title (Trefoil Sans), price, optional sale price, optional star rating, optional color swatches, optional add-to-cart/add-to-list control. GS green accents #005640.","Card hover: image zoom 1.03 + shadow lift; reveals quick add-to-cart/add-to-list button; title color -> green. Swatch hover: border highlight. Add button: darken green on hover.","Product Card is a shared item rendered by carousels and the PLP grid (not directly authored). Authoring is indirect via the parent block's product source. Author/dev confirms which optional elements (rating, swatches, quick-add) are enabled per placement.","Visitor sees product image, name, price (and sale price if applicable), rating; can click to PDP; can add to cart/list from the card (where enabled); sees out-of-stock state. Fully keyboard accessible.","COMMERCE: each card binds to one product from ACCS - image (Adobe Assets reference), name, regular & sale price, currency, star rating/review count, color/size swatches (variants), stock status, URL key, promo badges. Add-to-cart posts to ACCS cart; add-to-list posts to wishlist."
"Promotional Banner (Full / Season / 50-50)","Full_Banner (1280x581); Season_Banner (1280x549); 50-50_Section (1280x596 split image/text)","Authorable marketing banners. Full-width image with overlaid heading + CTA, or 50/50 image+text split. Heading Girl Scout font; CTA 'Know more' Trefoil Sans 600 16/21 green #005640.","CTA link/button: underline or fill-darken on hover; chevron nudge. Banner image: subtle zoom on hover if clickable.","Author sets background/feature image, heading, body text, and CTA (label + link). Author chooses layout variant (full vs 50-50 vs season). Optional eyebrow. Text alignment configurable.","Visitor sees the promo banner; CTA navigates to the authored target. Image has alt text. Responsive: 50-50 stacks on mobile. Sufficient text contrast over image.","Authorable content (no commerce). CTA may link to a PLP/promo page; link is authored."
"Customer Stories / Testimonials","Default (carousel of stories)","Frame 1280x801. Heading 'Customer Stories': Girl Scout Light(300) 36/43 black. Carousel of story cards (quote, attribution, optional image/rating).","Story card: shadow lift on hover. Carousel arrows: green fill on hover. Dots active/inactive.","Author adds/edits story entries: quote text, attribution (name/role), optional image, optional rating. Order authorable. Min 1 story; carousel only if >1.","Visitor reads testimonials; navigates carousel via arrows/dots/swipe. Accessible; slide changes announced.","Authorable content by default. (Optional future: pull verified reviews from reviews provider - not in MVP.)"
"Council Products","Default (council-scoped product carousel)","Frame 1280x758. Heading e.g. 'West Central Florida Council Products': Girl Scout Light(300) 36/43 black. Product carousel scoped to a council's products.","Same as Product Carousel / Product Card hover behaviors.","Author (or system) sets the council context/heading. Author may select council catalog or it resolves from the user's council. Configurable product count.","Visitor (esp. council-affiliated) sees products specific to a council; cards link to PDP; add-to-cart works.","COMMERCE: product list from ACCS filtered by council attribute/catalog (council-specific products). Same product fields as Product Card. Council scope may derive from user context or be authored."
"Skills/Badges Promo","Default editorial promo","Frame 1280x687 'A Month of Skills, Fun & New Badges'. Editorial section: heading, supporting copy, imagery, 'Know more' CTA (Trefoil Sans 600 16/21 green #005640).","'Know more' CTA: underline + green darken on hover; chevron nudge. Image zoom if clickable.","Author sets heading, body copy, image(s), and CTA (label + link). Layout variant selectable.","Visitor reads the editorial promo and follows CTA to the target page. Responsive and accessible.","Authorable content (no commerce). CTA is an authored link."
