Tagging Plan,Page / Flow,In B2C Figma + Block Story?,Key Events,EDS Readiness Gap,Open Question / Owner
"global items","Site-wide (nav, footer, search, errors, GTM, page_init)","Partial (Header/Footer/Nav/Breadcrumb stories exist)","page_init, nav_search, search_input, search_results, error_event, data-analytics-* clicks","GTM placement (head vs delayed); page_init ordering; data-analytics-* must be added by block JS","Adobe: confirm delayed-phase GTM + page_init location. Tracking: confirm controlled vocab owner."
"homepage - consumer/wholesale/leaders","Home Page","Yes (Hero, Shop by Grade/Category/Troop, Customer Stories, etc.)","initial_load, view_item_list, select_item, category_selector, add_to_wishlist, remove_from_wishlist, recent_viewed, error_event","Per-block dataLayer pushes; wishlist needs ACCS; recently-viewed source","Adobe: which block emits each event. Tracking: confirm consumer vs wholesale vs leader page_name values."
"PDP Product Detail","PDP","Partial (PDP stories pending)","view_item, add_to_cart, select_variant, add_to_wishlist, size guide, reviews","Item params depend on EC-243; variant/qty selection events from PDP block","Adobe: EC-243 item param mapping. Both: PDP block story still to be written."
"PLP + Quick Add B2C","PLP","Yes (PLP filters + product response stories)","view_item_list, select_item, add_to_cart (quick add), filter, sort","Filter/sort events from PLP block; quick-add popup events","Tracking: confirm filter/sort event names align to Live Search facets (EC-243)."
"PLP + Quick Add B2B","PLP (B2B)","No (B2B not in current B2C canvas)","view_item_list, add_to_cart, quick add","B2B flows out of current scope/designs","Scope: is B2B PLP in MVP? Designs/blocks needed."
"Cart","Cart","Partial (Cart block pending)","view_cart, view_item_list, add_to_cart, cart_cta_click, add_these_for_under_15","Cart drop-in events; cross-sell module","Adobe: cart drop-in event source (SDK vs custom). Block story pending."
"MiniCart","Mini Cart","Partial","mini_cart_view, mini_cart_cta_click, remove_from_cart, view_cart, outside_click","Mini-cart is a drop-in/flyout; events without navigation","Adobe: instrument flyout events. Confirm mini-cart in scope/design."
"Checkout","Checkout","Partial (Checkout block pending)","begin_checkout, add_shipping_info, add_payment_info, checkout_address/card add/select, donation, gift card, checkout_error","Multi-step drop-in updates without page loads -> virtual page views","Adobe: drop-in step instrumentation. Tracking: confirm virtual-pageview vs event model."
"Thank You Page","Order Confirmation","Partial","page_init (purchase context), plp_recently_viewed","purchase event location (here vs checkout); recently-viewed module","Tracking: confirm where 'purchase' fires. Adobe: confirm order data availability post-redirect."
"Transaction and Invoice","Transaction/Invoice (account)","No","page_init, site_search, view_search_results","Account-area page; not in B2C canvas","Scope: in MVP? Design/block needed."
"B2C Wishlist","Wishlist (account)","No (Add-to-list modal only in canvas)","account_wishlist, wishlist_create_new/edit/delete, wishlist_item_*, add_to_cart","Full wishlist management pages; ACCS wishlist API","Scope/design for wishlist management. Adobe: wishlist data source."
"MyAccount","My Account","No","account_overview, account_nav_click, account_address_*, account_payment_*, account_reorder_click, account_view_all_orders","Authenticated account area; not in guest B2C canvas","Scope: account area in MVP? Designs/blocks needed."
"B2B QuickOrders","B2B Quick Order","No","quick_order_search, quick_order_product_select, quick_order_select_options_*, quick_order_item_remove, add_to_cart","B2B-specific flow; no design/blocks in current scope","Scope: B2B in MVP? Designs/blocks needed."
"Store Locator","Store Locator","No","store_search, view_search_results","Map/locator page; not in current scope","Scope/design. Confirm data source (store list)."
"Council Landing Page","Council Landing","No","council_search, view_item_list, select_item, view_search_results, wishlist_add/remove","Council-specific landing; ties to council catalog","Scope/design. Links to council products (commerce)."
"Contact Us","Contact Us","No","contact_form_error, error_code, error_type, page_init","Form page; use EDS Form block","Scope/design. Use EDS form; confirm form provider."
"FAQ","FAQ","No (Accordion block exists generically)","page_init","Simple content page","Low complexity; confirm in scope."
"Fulfilment Log","Fulfilment Log (account/ops)","No","page_init, login_state, page_name/type","Ops/account page; not in B2C canvas","Scope: likely B2B/ops; confirm phasing."
